xs1,ys1,xg1,yg1,xs2,ys2,xg2,yg2,distance,replanning count,time
0,16,31,23,5,14,23,5,39.5,34,13.140946865081787
31,23,0,16,23,5,5,14,39.5,34,13.140946865081787
18,28,13,13,19,12,30,10,16.5,16,1.424328327178955
13,13,18,28,30,10,19,12,16.5,16,1.424328327178955
21,1,11,31,3,14,29,27,41.5,35,3.4351909160614014
11,31,21,1,29,27,3,14,41.5,35,3.4351909160614014
24,30,26,18,23,15,20,13,9.5,6,0.8698539733886719
26,18,24,30,20,13,23,15,9.5,6,0.8698539733886719
3,1,21,16,2,9,7,3,26.0,32,10.563411235809326
21,16,3,1,7,3,2,9,26.0,32,10.563411235809326
13,29,24,27,9,18,7,5,17.0,17,1.4931159019470215
24,27,13,29,7,5,9,18,17.0,17,1.4931159019470215
14,9,20,18,30,2,2,12,29.5,32,3.7473273277282715
20,18,14,9,2,12,30,2,29.5,32,3.7473273277282715
14,16,13,18,1,18,29,18,18.5,20,7.147815942764282
13,18,14,16,29,18,1,18,18.5,20,7.147815942764282
13,12,20,13,1,23,23,25,18.0,20,1.7641658782958984
