xs1,ys1,xg1,yg1,distance,replanning count,time
19,6,5,26,38,33,4.989554166793823
2,29,5,1,37,29,4.781706809997559
1,4,21,0,28,24,3.2719430923461914
30,0,8,21,45,42,5.432879209518433
10,29,27,12,34,31,4.059729099273682
22,26,27,0,37,29,4.3301331996917725
4,28,26,14,38,35,4.623293161392212
30,17,21,7,19,19,2.3671529293060303
0,28,18,4,42,40,5.587929725646973
15,21,16,22,2,2,0.24936985969543457
18,1,9,23,33,30,4.083953857421875
26,19,0,14,35,33,4.268203020095825
6,12,3,0,19,8,2.2756221294403076
0,31,5,13,27,25,3.232084035873413
6,30,29,18,35,32,4.251031160354614
22,16,28,2,22,11,2.663054943084717
9,2,31,2,30,21,3.668039321899414
5,0,16,12,25,22,3.0340609550476074
19,18,1,2,38,26,4.650982856750488
9,5,9,28,39,25,7.018226861953735
1,2,19,5,23,21,2.7621560096740723
3,30,18,17,28,27,3.4232723712921143
31,26,26,17,16,15,1.9052588939666748
21,15,30,30,36,18,4.587273120880127
16,21,16,30,13,9,1.591702938079834
0,13,2,5,10,5,1.1859240531921387
25,10,31,26,36,20,4.4387547969818115
5,4,18,10,21,19,2.5707449913024902
30,13,7,10,28,27,3.6795451641082764
5,22,17,2,32,30,3.921865224838257
9,4,31,25,45,35,5.576189994812012
22,0,28,7,13,12,1.4925978183746338
26,18,27,22,5,5,0.5838398933410645
31,0,30,27,44,31,5.3847761154174805
8,24,31,28,33,25,3.9539310932159424
23,22,29,17,13,13,1.6255123615264893
12,24,12,11,17,16,2.1279890537261963
0,16,16,21,23,22,2.7301549911499023
12,26,28,9,33,30,3.9959909915924072
12,3,20,6,11,10,1.4913787841796875
4,5,17,25,39,33,4.955495834350586
0,25,12,28,25,14,3.015505075454712
22,8,22,18,12,12,1.4377992153167725
18,16,26,17,9,9,1.3068389892578125
17,16,29,19,17,16,2.190054178237915
22,5,9,15,25,23,3.0101659297943115
21,16,28,2,23,12,2.7036490440368652
18,26,6,30,16,12,1.9756202697753906
30,30,26,3,37,34,4.416435956954956
23,22,20,14,11,10,1.3042030334472656
24,6,11,8,19,17,2.2995529174804688
6,7,4,29,30,24,3.9477291107177734
6,12,27,15,30,27,3.6543421745300293
12,3,10,14,15,14,1.8215620517730713
20,14,19,0,15,13,1.8280210494995117
16,8,11,12,9,9,1.2341759204864502
21,28,24,12,23,21,2.7173550128936768
24,17,5,5,31,27,3.819338083267212
12,18,1,19,16,14,1.8412599563598633
5,10,9,22,18,18,2.139266014099121
13,18,26,18,13,13,1.5781018733978271
12,24,11,18,9,9,1.0783438682556152
20,27,11,11,25,23,3.0262670516967773
23,2,12,21,34,30,4.077014207839966
1,24,23,15,35,29,4.27409815788269
18,7,31,28,44,28,5.2963621616363525
5,3,15,23,34,34,4.303389310836792
5,28,8,17,16,16,1.8752896785736084
3,8,19,18,26,25,3.072096109390259
25,28,14,31,14,11,1.614621877670288
4,21,19,15,23,22,2.7928059101104736
31,13,13,14,21,21,2.500120162963867
13,25,28,15,27,25,3.2262890338897705
5,0,20,24,41,36,4.9073967933654785
12,18,28,17,19,18,2.2849390506744385
8,7,30,8,31,29,3.776393175125122
29,30,9,27,27,23,3.2115912437438965
21,9,21,1,10,7,1.1624510288238525
25,14,15,23,19,18,2.300078868865967
5,13,1,13,4,4,0.4837069511413574
30,12,1,16,35,33,4.283911943435669
5,0,18,30,51,39,6.422667026519775
11,22,25,22,16,16,1.93196702003479
25,28,26,25,4,4,0.46140599250793457
16,30,1,7,40,35,4.969782114028931
7,27,29,12,41,36,5.011836051940918
3,26,7,12,20,19,2.348115921020508
